Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes,Date_added
557819-1,Highly Suspect,The Boy Who Died Wolf,300 Entertainment,"LP, Ele",,2017,9713482,,2017-09-06 12:33:56
558232-1,Highly Suspect,The Boy Who Died Wolf,300 Entertainment,"LP, Album, gat",,2016,9741155,,2017-09-06 12:33:25
558232-1,Highly Suspect,The Boy Who Died Wolf,300 Entertainment,"LP, Gat",,2017,9715326,,2017-09-06 12:33:32
auk030lp,The Brian Jonestown Massacre,Revelation,A Records (4),"2xLP, Album, Tra",,2014,5725095,,2017-02-06 03:21:03
395 350-1,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP, Album",,1991,2607766,,2017-05-03 02:23:42
395 350-1,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP, Album",,1991,1050791,,2017-05-03 02:23:46
395 374-1,Soundgarden,Badmotorfinger,A&M Records,"LP, Album, Alt",,1991,4122700,,2017-05-19 11:55:06
395252-1,Soundgarden,Louder Than Love,A&M Records,"LP, Album",,1989,3520113,,2017-05-19 11:53:50
75021 5350 1,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP, Album",,1991,466744,,2017-05-03 02:23:34
75021 5374 1,Soundgarden,Badmotorfinger,A&M Records,"LP, Album, MP, Alt",,1991,9561173,,2017-05-19 11:55:00
AMA 5252,Soundgarden,Louder Than Love,A&M Records,"LP, Album",,1989,1712501,,2017-05-19 11:53:59
B0025093-01,Soundgarden,Louder Than Love,A&M Records,"LP, Album, RM, 180",,2016,8949966,,2017-05-19 11:54:32
B0025510-01,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP + LP, S/Sided, Etch + Album, RE, RM, 180",,2016,9330862,,2017-05-03 02:24:31
B0025510-01,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP + LP, S/Sided, Etch + Album, RE, RM, 180",,2016,9515659,,2017-05-03 02:24:34
SP 5252,Soundgarden,Louder Than Love,A&M Records,"LP, Album",,1989,1567280,,2017-05-19 11:54:09
SP-3106,Joe Cocker,With A Little Help From My Friends,A&M Records,"LP, Album, RE, 180",,0,4941996,,2017-03-27 13:14:55
SP-4224,Joe Cocker,Joe Cocker!,A&M Records,"LP, Album",,1969,4027963,,2017-03-27 13:16:07
395350-1,Temple Of The Dog,Temple Of The Dog,A&M Records (2),"LP, Album",,1991,4391731,,2017-05-03 02:23:39
"395252-1, 395 252-1",Soundgarden,Louder Than Love,"A&M Records, A&M Records","LP, Album",,1989,1488175,,2017-05-19 11:54:16
"SP 4182, SP-4182",Joe Cocker,With a Little Help From My Friends,"A&M Records, A&M Records","LP, Album",,1969,9377909,,2017-03-27 13:09:57
"SP-4182, SP 4182",Joe Cocker,With A Little Help From My Friends,"A&M Records, A&M Records","LP, Album",,1969,7210159,,2017-03-27 13:10:36
SP-3106,Joe Cocker,With A Little Help From My Friends,"A&M Records, Speakers Corner Records","LP, Album, RE, RM, 180",,2000,3019687,,2017-03-27 13:15:18
602547924452,Soundgarden,Louder Than Love,"A&M Records, Universal Music Group International","LP, Album, RM, 180",,2016,8961368,,2017-05-19 11:54:27
602557095913,Temple Of The Dog,Temple Of The Dog,"A&M Records, Universal Music Group International","LP + LP, S/Sided, Etch + Album, RE, RM, 180",,2016,9822243,,2017-05-03 02:24:27
602557095913,Temple Of The Dog,Temple Of The Dog,"A&M Records, Universal Music Group International","LP + LP, S/Sided, Etch + Album, RE, RM, S/Edition,",,2016,9337733,,2017-05-03 02:24:41
"VVR731930, VVR728604",Black Rebel Motorcycle Club,Specter At The Feast,"Abstract Dragon, Abstract Dragon","2xLP, Album + CD, Album",,2013,4399660,,2017-11-07 02:31:31
C 62240,System Of A Down,Toxicity,American Recordings,"LP, Album",,2001,655527,,2017-04-25 05:45:32
ARM251021,Black Label Society,The Blessed Hellride,Armoury Records,"LP, Album, Whi",,2003,4528768,,2017-04-22 15:55:22
ARM251021,Black Label Society,The Blessed Hellride,Armoury Records,"LP, Album, RE",,2013,4816195,,2017-04-22 15:55:55
ARM251031,Black Label Society,Mafia,Armoury Records,"2xLP, Album",,2013,4572786,,2017-04-22 15:56:36
"ARM25102r1, none",Black Label Society,The Blessed Hellride,"Armoury Records, Universal Music Group, Eagle Rock Entertainment Ltd.","LP, Album, Ltd, RE, RM, Whi",,2016,8251666,,2017-04-22 15:54:56
7567-91372-1,Pantera,Cowboys From Hell,ATCO Records,"LP, Album",,1990,5145563,,2017-05-09 14:02:12
7567-91372-1,Pantera,Cowboys From Hell,ATCO Records,"LP, Album, M/Print",,1990,5247947,,2017-05-09 14:02:17
7567-91758-1,Pantera,Vulgar Display Of Power,ATCO Records,"LP, Album",,1992,475479,,2017-05-09 14:02:52
7567-91758-1,Pantera,Vulgar Display Of Power,ATCO Records,"LP, Album",,1992,5145420,,2017-05-09 14:02:59
7567-82242-1,Skid Row,Slave To The Grind,Atlantic,"LP, Album",,1991,1279521,,2017-05-02 14:52:51
A2 82278,Skid Row,Slave To The Grind,Atlantic,LP,,1991,7736159,,2017-05-02 14:53:16
SD 7212,King Crimson,Islands,Atlantic,"LP, Album, Pre",,1972,4257183,,2017-10-02 02:03:08
SD 7212,King Crimson,Islands,Atlantic,"LP, Album, Gat",,1972,5221304,,2017-10-02 02:03:21
"7567-82242-1, WX 423",Skid Row,Slave To The Grind,"Atlantic, Atlantic","LP, Album",,1991,6241312,,2017-05-02 14:53:09
BBQLP 164,The Cult,The Cult,Beggars Banquet,"2xLP, Album",,1994,314287,,2017-07-04 09:22:47
B0012356-01,Guns N' Roses,Chinese Democracy,Black Frog,"2xLP, Album",,2008,8856036,,2017-05-23 12:03:52
602517906136,Guns N' Roses,Chinese Democracy,"Black Frog, Geffen Records","2xLP, Album",,2008,1913716,,2017-05-23 12:03:16
B0012356-01,Guns N' Roses,Chinese Democracy,"Black Frog, Geffen Records","2xLP, Album, 180",,2008,1593870,,2017-11-09 02:12:23
BS 131,Scott H. Biram,Graveyard Shift,Bloodshot Records,"LP, Album, Ltd, RE, Pur",,2015,7220944,,2017-02-17 13:04:41
BS 167,Scott H. Biram,Something's Wrong/Lost Forever,Bloodshot Records,"LP, Album, Ltd",,2009,2492151,,2017-02-17 13:04:58
BS 213,Scott H. Biram,Nothin` But Blood,Bloodshot Records,"LP, Album, Ltd, Red",,2014,5363862,,2017-02-17 13:04:05
BS 252,Scott H. Biram,The Bad Testament,Bloodshot Records,"LP, Album, Dlx, Ltd, Ora",,2017,9871518,,2017-03-29 01:42:32
BS 252,Scott H. Biram,The Bad Testament,Bloodshot Records,"LP, Album, 180",,2017,9886256,,2017-03-29 01:42:41
BS254LP,The Yawpers,Boy In A Well,Bloodshot Records,"LP, Ltd, Blu",,2017,10718306,,2017-08-18 06:48:55
BS254LP,The Yawpers,Boy In A Well,Bloodshot Records,"LP, Album",,2017,10776479,,2017-12-21 07:31:33
BHV-16790-1,The Black Angels,Indigo Meadow,Blue Horizon (3),"LP, Album",,2013,4427565,,2017-11-10 01:54:58
D1-78869,Hank Williams III,Straight To Hell,Bruc Records,"2xLP, Album, Gat",,2009,2332759,,2016-12-02 06:09:43
D1-78869,Hank Williams III,Straight To Hell,Bruc Records,"2xLP, Album, Ltd, RE, Mul",,2011,4548782,,2017-04-21 13:24:03
"5284821-A/B, 5284831-C/D",Radiohead,Kid A,Capitol Records,"2x10"", Album, Ltd, RE, 140",,2008,1450555,,2017-05-22 13:03:29
72435-27753-16,Radiohead,Kid A,"Capitol Records, EMI","2x10"", Album, RE",,2012,5479446,,2017-05-22 13:03:34
CARLP 167,Black Label Society,Mafia,Cargo Records,"2xLP, Album, RE, sil",,2016,8228646,,2017-04-22 15:56:53
CARLP 167,Black Label Society,Mafia,Cargo Records,"2xLP, Album, RE, whi",,2016,9896854,,2017-04-22 15:57:08
CAROL 1336,Suicidal Tendencies,Join The Army,Caroline Records,"LP, Album",,1987,692695,,2017-05-02 14:55:22
V2424,Suicidal Tendencies,Join The Army,Caroline Records,"LP, Album",,1987,5025768,,2017-05-02 14:55:41
CRVD-08,Tyler Bryant & The Shakedown,Wild Child,Carved Records,"LP, Album, Pur",,2013,4296820,,2017-02-15 13:06:26
CRVD-08,Tyler Bryant & The Shakedown,Wild Child,Carved Records,"LP, Album, Gra",,2013,6920560,,2017-05-13 14:55:50
CRVD-08,Tyler Bryant & The Shakedown,Wild Child,Carved Records,"LP, Album, Ltd",,2013,7435528,,2017-05-13 14:55:52
5C 054-24311,Sweet Smoke,Just A Poke,Catfish,"LP, Album",,1970,4818244,,2017-05-07 09:44:40
"5C 054-24311, 5C054.24.311",Sweet Smoke,Just A Poke,"Catfish, Catfish","LP, Album",,1970,6557895,,2017-05-07 09:44:42
466350 1,Love/Hate,Blackout In The Red Room,CBS,"LP, Album",,1990,6135433,,2017-07-04 09:18:16
466350 1,Love/Hate,Blackout In The Red Room,CBS,"LP, Album",,1990,1178583,,2017-07-04 09:18:23
467201 1,Alice In Chains,Facelift,CBS,"LP, Album",,1990,2393027,,2017-04-05 01:45:23
467201 1,Alice In Chains,Facelift,CBS,"LP, Album",,1993,5375826,,2017-08-23 07:50:26
467201-1,Alice In Chains,Facelift,CBS,"LP, Album",,1990,4129448,,2017-04-05 01:44:58
FZ 44245,Ozzy Osbourne,No Rest For The Wicked,CBS Associated Records,"LP, Album",,1988,1720681,,2017-05-23 08:23:32
"CEL 1900, CEL-1900",Harmonium,Les Cinq Saisons,"Celebration, Celebration","LP, Album, Gat",,1975,642528,,2017-05-28 01:22:02
"CEL 1900, CEL-1900",Harmonium,Les Cinq Saisons,"Celebration, Celebration","LP, Album, Gat",,1975,4628386,,2017-05-28 01:22:05
CLMN 12017,Ikebe Shakedown,The Way Home,Colemine Records,"LP, Album, Ltd, Cle",,2017,11027890,,2017-12-30 16:46:43
CLMN 12017,Ikebe Shakedown,The Way Home,Colemine Records,"LP, Album",,2017,11083675,,2017-12-30 16:46:47
1 C 062-28 886,Sweet Smoke,Just A Poke,Columbia,"LP, Album",,1970,860453,,2017-05-07 09:44:22
1 C 062-28 886,Sweet Smoke,Just A Poke,Columbia,"LP, Album",,1970,3743158,,2017-05-07 09:44:37
2C 062-28.886,Sweet Smoke,Just A Poke,Columbia,"LP, Album",,1970,9266729,,2017-05-07 09:44:45
469453 1,Love/Hate,Wasted In America,Columbia,LP,,1992,1262848,,2017-07-04 09:18:53
469453 1,Love/Hate,Wasted In America,Columbia,"LP, Album",,1992,6948316,,2017-07-04 09:18:59
C 45263,Love/Hate,Blackout In The Red Room,Columbia,"LP, Album",,1990,3934636,,2017-07-04 09:18:33
COL 467201 1,Alice In Chains,Facelift,Columbia,"LP, Album",,1990,1063332,,2017-04-05 01:44:38
CS 9701,Mike Bloomfield / Al Kooper / Stephen Stills,Super Session,Columbia,"LP, Album",,1968,620586,,2017-04-23 02:02:52
"COL 501534 1, 501534 1",System Of A Down,Toxicity,"Columbia, Columbia","LP, Album",,2001,417556,,2017-04-25 05:45:40
D1-77949,Hank Williams III,Risin' Outlaw,Curb Records,"LP, Album, Ltd, RE, Cle",,2011,2885712,,2017-04-21 13:24:41
D1-78728,Hank Williams III,"Lovesick, Broke & Driftin'",Curb Records,"LP, Album, Ltd, RE, Cle",,2011,2885716,,2016-12-02 13:42:00
D1-78728,Hank Williams III,"Lovesick, Broke & Driftin'",Curb Records,"LP, Album, RE, Cle",,0,6665245,,2017-09-28 09:24:41
D1-79466,Hank Williams III,Greatest Hits,Curb Records,"LP, Comp",,2017,10850652,,2017-10-04 07:00:01
"D1-77949, K1-77949",Hank Williams III,Risin' Outlaw,"Curb Records, Curb Records","LP, Album, RE + CD, Album",,2009,1774357,,2016-12-02 13:42:46
"D1-78728, D2-78728",Hank Williams III,"Lovesick, Broke & Driftin'","Curb Records, Curb Records","LP + CD, Album",,2009,1774323,,2017-04-12 05:30:08
510 605-1,Slayer,Decade Of Aggression Live,Def American Recordings,"2xLP, Album, Ltd, Num",,1991,2290841,,2017-11-30 01:59:26
510 605-1,Slayer,Decade Of Aggression Live,Def American Recordings,"2xLP, Album",,1991,1325005,,2017-11-30 02:00:30
510 605-1,Slayer,Decade Of Aggression Live,Def American Recordings,"2xLP, Album",,1991,4707171,,2017-11-30 02:01:19
512 270-1,Danzig,Danzig III: How The Gods Kill,Def American Recordings,"LP, Album",,1992,782208,,2016-11-21 07:08:10
512 270-1,Danzig,Danzig III: How The Gods Kill,Def American Recordings,"LP, Album",,1992,4030829,,2017-03-09 02:11:51
842 515-1,The Black Crowes,Shake Your Money Maker,Def American Recordings,"LP, Album",,1990,382925,,2017-04-22 15:46:21
842 515-1,The Black Crowes,Shake Your Money Maker,Def American Recordings,"LP, Album, Fir",,1990,4395212,,2017-04-22 15:47:04
842 515-1,The Black Crowes,Shake Your Money Maker,Def American Recordings,"LP, Album",,1990,4538134,,2017-04-22 15:47:17
842 515-1,The Black Crowes,Shake Your Money Maker,Def American Recordings,"LP, Album",,1990,7307653,,2017-04-22 15:47:45
842 515-1,The Black Crowes,Shake Your Money Maker,Def American Recordings,"LP, Album",,1990,8203318,,2017-04-22 15:47:59
DEF 24278,The Black Crowes,Shake Your Money Maker,Def American Recordings,"LP, Album",,1990,2502501,,2017-04-22 15:46:45
535 145-0,Caravan,In The Land Of Grey And Pink,Deram,"LP, Album, RE, Gat",,2014,6080169,,2017-10-02 01:51:41
602527140131,Wolfmother,Cosmic Egg,"DGC Records, Interscope Records, Universal Music Group International","2xLP, Album, Gat",,2009,10961498,,2017-11-27 04:48:29
KCLP4,King Crimson,Islands,"Discipline Global Mobile, Panegyric, Inner Knot","LP, Album, RE, RM, 200",,2014,6093915,,2017-10-02 02:04:27
6 4242-00800-1 1,Gnarls Barkley,The Odd Couple,Downtown Music,"2xLP, Album, Ltd, Gat",,2008,1319520,,2017-08-11 23:50:12
8 7803-70003-1 3,Gnarls Barkley,St. Elsewhere,Downtown Music,"LP, Album",,2006,699036,,2017-08-11 23:50:33
DC404,Om (8),God Is Good,Drag City,"LP, Album",,2009,1928344,,2017-11-21 04:54:32
DC438,Om (8),Advaitic Songs,Drag City,"2x12"", Album",,2012,3743189,,2017-11-21 04:54:38
MOSH 160,Carcass,Swansong,Earache,"LP, Album",,1996,519276,,2017-05-05 04:58:50
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, Red",,2013,5097723,,2017-05-05 04:59:07
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, RM, Blu",,2013,5114751,,2017-05-05 04:59:10
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, RM, Pin",,2013,5154380,,2017-05-05 04:59:15
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, Whi",,2013,5099078,,2017-05-05 04:59:18
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, Whi",,2013,5102097,,2017-05-05 04:59:21
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, RM, Pur",,2013,5128086,,2017-05-05 04:59:23
MOSH160FDR,Carcass,Swansong,Earache,"LP, Album, Ltd, RE, RM",,2013,5093016,,2017-05-05 04:59:27
none,Rival Sons,Rival Sons,Earache,"12"", EP",,2011,3801665,,2016-11-20 13:58:38
61908-1,Pantera,The Great Southern Trendkill,EastWest Records America,"LP, Album",,1996,5287287,,2017-05-09 14:04:59
7559-61908-1,Pantera,The Great Southern Trendkill,EastWest Records America,"LP, Album, Ltd",,1996,1696193,,2017-05-09 14:04:52
7559-61908-1,Pantera,The Great Southern Trendkill,EastWest Records America,"LP, Album",,1996,6528896,,2017-05-09 14:05:03
7567-92302-1,Pantera,Far Beyond Driven,Eastwest Records America,"LP, Album",,1994,3218747,,2017-05-09 14:04:03
7567-92374-1,Pantera,Far Beyond Driven,EastWest Records America,"2x12"", Album, Ltd, Gat",,1994,1114865,,2017-05-09 14:03:55
92302-1,Pantera,Far Beyond Driven,Eastwest Records America,"LP, Album",,1994,476449,,2017-05-09 14:03:43
7559-61571-1,Kyuss,Welcome To Sky Valley,Elektra,"LP, Album",,1994,380370,,2017-04-03 06:20:46
7559-61571-1,Kyuss,Welcome To Sky Valley,Elektra,"LP, Album",,1994,1768875,,2017-04-03 06:20:52
46 65691,Suicidal Tendencies,Lights Camera Revolution,Epic,LP,,1990,524507,,2017-05-02 14:56:52
462581 1,Ozzy Osbourne,No Rest For The Wicked,Epic,"LP, Album",4,1988,2804836,,2017-05-23 08:22:32
462581 1,Ozzy Osbourne,No Rest For The Wicked,Epic,"LP, Album",,1988,7752022,,2017-05-23 08:23:16
462581 1,Ozzy Osbourne,No Rest For The Wicked,Epic,"LP, Album",,1988,4642568,,2017-05-23 08:23:57
466569 1,Suicidal Tendencies,Lights... Camera... Revolution,Epic,"LP, Album",,1990,1480346,,2017-05-02 14:56:55
466569 1,Suicidal Tendencies,Lights Camera Revolution,Epic,"LP, Album",,1990,4394828,,2017-05-02 14:57:02
82796 97728 1,Audioslave,Revelations,Epic,"LP, Album, Cle",,2006,1635123,,2017-04-25 05:30:39
88985455331,Audioslave,Audioslave,Epic,"2xLP, Album, RE",,2017,10722169,,2017-08-21 03:29:29
E 44288,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,Epic,"LP, Album",,1988,955722,,2017-05-02 14:56:13
E2 86968,Audioslave,Audioslave,Epic,"2xLP, Album",,2002,1210233,,2017-04-25 05:28:09
EPC 462581 1,Ozzy Osbourne,No Rest For The Wicked,Epic,"LP, Album, Ltd, Red",,1988,4947537,,2017-05-23 08:20:51
EPC 462581 1,Ozzy Osbourne,No Rest For The Wicked,Epic,"LP, Album",4,1988,6688250,,2017-05-23 08:23:40
Z 46795,Ozzy Osbourne,No More Tears,Epic Associated,"LP, Album",,1991,3724657,,2017-05-23 08:26:34
88985315511,Various,Singles - Original Motion Picture Soundtrack,"Epic Soundtrax, Legacy, Vinyl Films","2xLP, Comp, RE, Whi + CD, Comp + Comp, Dlx, Ltd",,2017,10224784,,2017-07-25 12:03:48
88985315511,Various,Singles - Original Motion Picture Soundtrack,"Epic Soundtrax, Legacy, Vinyl Films","2xLP, Comp, RE + CD, Comp, Dlx, Car",,2017,10306866,,2017-07-25 12:03:59
E 45389,Suicidal Tendencies,Lights Camera Revolution,"Epic, CBS","LP, Album",,1990,3250026,,2017-05-02 14:56:58
"EPC 467859 1 , 467859 1",Ozzy Osbourne,No More Tears,"Epic, Epic","LP, Album",,1991,389504,,2017-05-23 08:26:03
"EPC 471438 1, 471438 1",Various,Singles (Original Motion Picture Soundtrack),"Epic, Epic Soundtrax","LP, Comp",,1992,1112235,,2017-07-25 12:03:32
B0004603-01,Audioslave,Out Of Exile,"Epic, Interscope Records","2xLP, Album, Blu",,2005,890214,,2017-10-14 15:44:26
68517,Harmonium,Les Cinq Saisons,Gamma,"LP, Album, Gat",,1977,4998658,,2017-05-28 01:22:10
7.8517,Harmonium,Les Cinq Saisons,Gamma,"LP, Album",,1977,3186252,,2017-05-28 01:22:16
"8.517, 8517",Harmonium,Les Cinq Saisons,"Gamma, Gamma","LP, Album, Gat",,1977,9864380,,2017-05-28 01:22:31
"8517, 190031",Harmonium,Les Cinq Saisons,"Gamma, Gamma","LP, RE",,1977,8099978,,2017-05-28 01:22:27
"8517, 8.517",Harmonium,Les Cinq Saisons,"Gamma, Gamma","LP, RE, Gat",,1977,1950350,,2017-05-28 01:22:13
"XGHS 24198, R 100805",Guns N' Roses,G N' R Lies,"Geffen Records, BMG Direct Marketing, Inc.","LP, Album, Club",,1988,1381943,,2017-10-03 03:02:19
"924 198-1, GEF 24198",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records","LP, Album",,1988,6105552,,2017-10-03 03:02:00
"924 198-1, WX 218, none",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records, Uzi Suicide","LP, Album, 1st",,1988,1353626,,2017-10-03 03:01:40
"GEF 24198, GEF 24 198, none",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records, Uzi Suicide Records","LP, Album",,1988,3156141,,2017-10-03 03:01:58
"924 198-1, WX 218",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records, Uzi Suicide, Uzi Suicide","LP, Album",,1988,408199,,2017-10-03 03:01:38
GHS 24198,Guns N' Roses,G N' R Lies,"Geffen Records, Uzi Suicide Records","LP, Album, 1st",,1988,8138085,,2016-12-22 06:42:22
GHS 24198,Guns N' Roses,G N' R Lies,"Geffen Records, Uzi Suicide Records","LP, Album",,1988,1647920,,2017-10-03 03:02:22
HSLP314,Siena Root,Different Realities,Headspin Records,"LP, Album, Ltd, Yel",,2009,1995246,,2017-02-25 03:58:00
HSLP314,Siena Root,Different Realities,Headspin Records,"LP, Album, Gat",,2009,1995247,,2017-02-25 03:58:14
HVNLP101,Mark Lanegan,Imitations,Heavenly,"LP, Album + CD, Album",,2013,4917297,,2017-09-09 11:30:44
HR016,Baroness,Red Album,Hyperrealist,"2xLP, Album, Etch, Ltd, Red",,2008,1529917,,2017-04-09 13:23:00
600753388877,Audioslave,Out Of Exile,Interscope Records,"2xLP, Album, RE",,2012,3852730,,2017-04-25 05:30:00
493 435-1,Queens Of The Stone Age,Songs For The Deaf,Interscope Records,2xLP,,2002,3845829,,2017-11-30 01:48:19
493 435-1,Queens Of The Stone Age,Songs For The Deaf,Interscope Records,"2xLP, Album",,2002,545897,,2017-11-30 01:48:26
"B0017874-01, STDHT-ST01",Marilyn Manson,Antichrist Superstar,"Interscope Records, Universal Music Special Markets","2xLP, Album, Ltd, RE, Red",,2013,4314761,,2017-09-25 02:59:14
"IPC-41, none",Queens Of The Stone Age,Songs For The Deaf,"Ipecac Recordings, Rekords Rekords","2xLP, Album, Ltd, Red",,2003,577250,,2017-04-03 06:14:36
6396013,King Crimson,Islands,Island Records,"LP, Album",,1971,1609667,,2017-10-02 02:03:38
88985315511,Various,Singles (Original Motion Picture Soundtrack),"Legacy, Epic Soundtrax, Vinyl Films","2xLP, RE, Gat + CD + Comp, Dlx",,2017,10302224,,2017-07-25 12:03:55
MT 44002,Caravan,"If I Could Do It All Over Again, I'd Do It All Over You",Les Disques Motors,"LP, Album",,1970,6181800,,2017-10-02 01:50:20
MT 44007,Caravan,In The Land Of Grey And Pink,Les Disques Motors,"LP, Album, Gat",,1971,7626882,,2017-10-02 01:51:24
"MTO 77.010, MTO 77010",Caravan,"If I Could Do It All Over Again, I'd Do It All Over You","Les Disques Motors, Les Disques Motors","LP, Album, RE",,1979,4052633,,2017-10-02 01:50:43
LITA 0018,The Black Angels,Passover,Light In The Attic,"LP, Blu + LP, Gre + Album, Ltd",,2016,8695973,,2017-11-10 01:48:23
LITA 018,The Black Angels,Passover,Light In The Attic,"2xLP, Album, Emb",,2006,744615,,2017-11-10 01:42:12
LITA 018,The Black Angels,Passover,Light In The Attic,"LP, Album",,2006,10217122,,2017-11-10 02:03:06
LITA 033,The Black Angels,Directions To See A Ghost,Light In The Attic,"3xLP, Album",,2008,1495678,,2017-11-10 02:03:44
