Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes,Date_added
"LITA 0018, LITA 018",The Black Angels,Passover,"Light In The Attic, Light In The Attic","2xLP, Album, RE",,2009,1932545,,2017-11-10 01:42:56
LNPD-45,Walking Papers,Walking Papers,Loud & Proud Records,"2xLP, Album, Cle",,2013,5126726,,2017-12-01 00:21:01
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP + LP, Whi + , Album, Ltd",,2008,1350696,,2017-06-19 13:15:26
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"2xLP, Album, RP, Blu",,2008,1492896,,2017-06-19 13:15:31
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"2xLP, Album",,2008,1745519,,2017-06-19 13:15:33
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"2xLP, Album, Ltd, Gre",,2008,1745528,,2017-06-19 13:15:37
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP, Gre + LP, Whi + , Album, Ltd",,2008,2257140,,2017-06-19 13:15:41
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP, Gre + LP + Album, Ltd",,2008,8436181,,2017-06-19 13:15:49
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP, Album, Ltd, Bla + LP, Album, Ltd, Pur",,2008,10084117,,2017-06-19 13:15:55
MOR - 007LP,Sasquatch (6),Maneuvers,Mad Oak Records,"LP, Album, 180",,2017,10475405,,2017-12-04 12:50:13
251111,Crackmind,Because All Collapses,Mausoleum Records,"CD, Album",5,2010,4973480,,2017-03-09 09:31:30
3984-15312-1,Death (2),Symbolic,Metal Blade Records,"LP, Album, RE, Whi",,2014,6326011,,2017-09-14 12:51:37
3984-15312-1,Death (2),Symbolic,Metal Blade Records,"LP, Album, RE, 180",,2014,7815980,,2017-09-14 12:51:45
3984-15519-1,Igorrr,Savage Sinusoid,Metal Blade Records,"LP, Album, Ltd, Num, Pin",4,2017,10773856,,2017-08-30 07:49:06
CMTWAFTF,Crackmind,The Wreck Age - I. Face To Faith,MindProduction,"12"", MiniAlbum, Ltd, Red",5,2017,9714627,,2017-08-09 02:22:03
CMTWAFTF/1,Crackmind,The Wreck Age - I. Face To Faith,MindProduction,"CD, MiniAlbum, EP",5,2016,9558503,,2017-08-09 02:59:41
none,Crackmind,Call MIND-1-1,MindProduction,"CD, Album",4,2007,8313835,,2017-08-09 02:59:31
none,Crackmind,A Rose May Fly ...,MindProduction,"CD, EP",4,2008,9538556,,2017-08-09 02:59:44
9855004,Wolfmother,Wolfmother,Modular Recordings,"2xLP, Album",,2006,765415,,2017-11-27 04:44:58
600753615232,Wolfmother,Wolfmother,"Modular Recordings, Interscope Records, Universal Music Group International","2xLP, Album, RE, S/Edition, 180",,2015,7710941,,2017-11-27 04:46:11
MALP001,Mos Generator,The Late Great Planet Earth,Music Abuse Records,LP,,2005,5728703,,2017-04-22 15:41:33
MOVLP385,Caravan,Caravan,Music On Vinyl,"LP, Album, RE",,2011,3738747,,2017-10-02 01:49:22
MOVLP400,Wolfmother,Wolfmother,Music On Vinyl,"2xLP, Album, RE, 180",,2011,4277579,,2017-02-13 06:54:10
MOVLP400,Wolfmother,Wolfmother,Music On Vinyl,"2xLP, Album, Ltd, RE, Red",,2011,3290277,,2017-11-27 04:45:05
MOVLP800,Mother Love Bone,Mother Love Bone,Music On Vinyl,"2xLP, Comp, Ltd, Num, RE, Pur",,2013,4576152,,2017-05-02 14:49:03
MOVLP800,Mother Love Bone,Mother Love Bone,Music On Vinyl,"2xLP, Comp, RE, 180",,2013,4576142,,2017-05-02 14:49:07
MOVLP956,Temple Of The Dog,Temple Of The Dog,Music On Vinyl,"LP + LP, S/Sided, Etch + Album, Ltd, Num, RE, Pur",,2013,5045271,,2017-05-03 02:24:13
MOVLP956,Temple Of The Dog,Temple Of The Dog,"Music On Vinyl, A&M Records","LP + LP, S/Sided, Etch + Album, RE, 180",,2013,5098793,,2017-05-03 02:24:09
MOVLP956,Temple Of The Dog,Temple Of The Dog,"Music On Vinyl, A&M Records","LP + LP, S/Sided, Etch + Album, Ltd, RE, RP, Pur",,2015,7835938,,2017-05-03 02:24:18
MOVLP081,Audioslave,Audioslave,"Music On Vinyl, Epic, Interscope Records","2xLP, Album, RE, RP, 180",,2010,2318647,,2017-04-25 05:28:28
NASONI 081,Mos Generator,The Late Great Planet Earth,Nasoni Records,"LP, Album, Ltd",,2008,1731712,,2017-04-22 15:41:57
NASONI 081,Mos Generator,The Late Great Planet Earth,Nasoni Records,"LP, Album, Ltd, Col",,2008,3675871,,2017-04-22 15:42:28
ETE 001 CD,Eternal (32),From The Free,Not On Label (Eternal (32) - Self-released),"CD, EP",5,1996,9050589,,2017-03-28 06:03:13
069490790-1,Marilyn Manson,Holy Wood (In The Shadow Of The Valley Of Death),Nothing Records,"2xLP, Album",,2000,562943,,2017-09-25 02:58:02
490 790-1,Marilyn Manson,Holy Wood (In The Shadow Of The Valley Of Death),Nothing Records,"2xLP, Album",,2000,4401131,,2017-09-25 02:58:09
9801089,Marilyn Manson,The Golden Age Of Grotesque,Nothing Records,"2xLP, Album",,2003,1290278,,2017-09-25 02:57:14
"INT2-90273-1, INT2-90273-2",Marilyn Manson,Mechanical Animals,"Nothing Records, Nothing Records","LP, Whi + LP, Blu + Album",,1998,4914417,,2017-09-25 02:59:50
"INT2-90273-1, INT2-90273-2",Marilyn Manson,Mechanical Animals,"Nothing Records, Nothing Records","LP, Whi + LP, Blu + Album",,1998,239093,,2017-09-25 02:59:57
"NB 2956-1, 27361 29561",Witchcraft (6),Legend,"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd",,2012,3890381,,2017-06-02 02:14:20
"NB 2956-1, 27361 29561",Witchcraft (6),Legend,"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd, Num, Yel",,2012,4016383,,2017-11-28 05:34:15
"NB 2956-1, 27361 29561",Witchcraft (6),Legend,"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd, Num, Blu",,2012,4603391,,2017-11-28 05:34:18
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Bro",,2013,4923345,,2017-06-14 07:37:43
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Blu",,2013,4900832,,2017-06-14 07:37:59
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Blu",,2013,4900712,,2017-06-14 07:38:02
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album",,2013,4907371,,2017-06-14 07:38:10
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Cle",,2013,4942679,,2017-06-14 07:38:20
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Gre",,2013,4903949,,2017-06-14 07:38:25
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Sil",,2013,4901679,,2017-06-14 07:38:32
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Ora",,2013,4900769,,2017-06-14 07:38:34
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Pur",,2013,5153358,,2017-06-14 07:38:36
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Whi",,2013,4922028,,2017-06-14 07:38:40
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Gol",,2013,4979736,,2017-06-14 07:38:45
"NB 3148-1, 27361 31481",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","2x12"", Album, Ltd, Num, Red",,2013,4900836,,2017-06-14 07:38:48
"NB 3148-1, 3148-1",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","LP, Album, Ltd, Gre",,2013,6487570,,2017-06-14 07:38:13
"NB 3148-1, 3148-1",Carcass,Surgical Steel,"Nuclear Blast, Nuclear Blast","LP, Album, Ltd, Sil",,2013,5205529,,2017-06-14 07:38:17
"NB 3548-1, 27361 35481",Witchcraft (6),Nucleus,"Nuclear Blast, Nuclear Blast","2xLP, Album",,2016,7950490,,2017-11-28 05:36:33
"NB 3548-1, 3548-1",Witchcraft (6),Nucleus,"Nuclear Blast, Nuclear Blast","2xLP, Album",,2016,8073823,,2017-11-28 05:35:13
"NB 3642-1, 27361 36421",Carcass,Surgical Steel (Complete Edition),"Nuclear Blast, Nuclear Blast","2xLP, Album, RE",,2015,7662625,,2017-06-14 07:38:54
"NB 3642-1, 27361 36421",Carcass,Surgical Steel (Complete Edition),"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd, RE, Sil",,2015,7662730,,2017-06-14 07:39:04
"NB 3642-1, 27361 36421",Carcass,Surgical Steel (Complete Edition),"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd, RE, Lil",,2015,7662666,,2017-06-14 07:39:06
OPLP 187,Shining (3),V - Halmstad,Osmose Productions,"LP, Album, Ltd",,2007,1021907,,2017-04-05 07:07:04
7243 5 27753 1 6,Radiohead,Kid A,Parlophone,"2x10"", Album",,2000,65034,,2017-05-22 13:03:16
LPKIDA 1,Radiohead,Kid A,Parlophone,"2x10"", Album",,2000,74743,,2017-05-22 13:03:19
LPKIDA 1,Radiohead,Kid A,Parlophone,"2x10"", Album, W/Lbl",,2000,5217192,,2017-05-22 13:03:24
"509990292346, TMR092",Danger Mouse & Daniele Luppi,Rome,"Parlophone, Lex Records, EMI, Third Man Records","LP, Ora + LP, Whi + Album, Ltd, Tip",,2011,2992668,,2017-08-11 12:09:16
"509999464850, TMR091",Danger Mouse & Daniele Luppi,Rome,"Parlophone, Lex Records, EMI, Third Man Records","LP, Album",,2011,2956312,,2017-08-11 12:09:07
5099994648515,Danger Mouse & Daniele Luppi,Rome,"Parlophone, Lex Records, Third Man Records","LP, Album, RP",,2015,7480068,,2017-08-11 12:09:20
"PFRLP11, 88875184281",Pink Floyd,The Wall,"Pink Floyd Records, Pink Floyd Records","2xLP, Album, RE, RM, 180",,2016,8957729,,2017-09-29 06:27:24
184349,Joe Cocker,Joe Cocker!,Polydor,"LP, Album",,1969,4455039,,2017-03-27 13:17:24
843 191-1,Mother Love Bone,Apple,Polydor,"LP, Album",,1990,930553,,2017-05-02 14:49:27
"843 191-1, 422 843 191-1",Mother Love Bone,Apple,"Polydor, Polydor","LP, Album",,1990,3020863,,2017-05-02 14:49:40
7567-91758-1,Pantera,Vulgar Display Of Power,"PWL International, ATCO Records","LP, Album",,1992,6158374,,2017-05-09 14:03:06
7930183659-1,The Sword,High Country,Razor & Tie,"2xLP, Album, Ltd, Yel",,2015,7402737,,2017-02-15 12:02:18
7930183659-1,The Sword,High Country,Razor & Tie,"2xLP, Album, Ltd, Red",,2015,7377430,,2017-02-15 12:02:50
ADM 101120,John Frusciante,The Empyrean,Record Collection,"2xLP, Album",,2009,1620120,,2017-11-09 12:24:50
RCM 101120,John Frusciante,The Empyrean,Record Collection,"2xLP, Album, RE",,2012,4191339,,2017-11-09 12:24:46
RCM 101120,John Frusciante,The Empyrean,Record Collection,"2xLP, Album, RE, 180",,2013,4292440,,2017-11-09 12:24:54
RR 7053,Baroness,Blue Record,Relapse Records,"2xLP, Album",,2009,10358251,,2017-11-22 02:31:02
RR 7053-1,Baroness,Blue Record,Relapse Records,"2x12"", Album, Ltd, 180",,2009,2020532,,2017-04-09 13:24:25
RR6721-1,Baroness,Red Album,Relapse Records,"2x12"", Album, Ltd, 180",,2008,1577695,,2017-04-09 13:23:06
RR6721-1,Baroness,Red Album,Relapse Records,"2x12"", Album, Ltd, RP, 180",,2009,3685796,,2017-04-09 13:23:40
RISELP206,Troubled Horse,Revolution On Repeat,Rise Above Records,"LP, Ltd, Die + 7"", S/Sided, Ltd, Bon",,2017,10222377,,2017-06-16 02:32:20
RISELP206,Troubled Horse,Revolution On Repeat,Rise Above Records,"LP, Album, Ltd, Pur",,2017,10284085,,2017-06-16 02:32:31
RISELP206,Troubled Horse,Revolution On Repeat,Rise Above Records,"LP, Album, Gre + 7"", S/Sided + Ltd",,2017,10407382,,2017-06-16 02:32:39
RISELP206,Troubled Horse,Revolution On Repeat,Rise Above Records,"LP, Album, Ltd, Blu",,2017,10259627,,2017-06-16 02:33:05
none,Rival Sons,Before The Fire,"Rival Sons, Inc","LP, Album",,2009,4893140,,2017-01-05 09:19:52
"RO 9328-1, RO 9328 1",Sepultura,Arise,"Roadracer Records, Roadracer Records","LP, Album",,1991,418201,,2017-05-10 12:38:33
"RO 9328-1, RO 9328 1",Sepultura,Arise,"Roadracer Records, Roadracer Records","LP, Album",,1991,5717457,,2017-05-10 12:38:42
RR 8957-1,Death (2),Symbolic,Roadrunner Records,"LP, Album",,1995,1396918,,2017-09-14 12:45:45
RRCAR 8957-1,Death (2),Symbolic,"Roadrunner Records, Cargo Records","LP, Album, RE",,2007,1410857,,2017-09-14 12:51:54
RRRLP005,Siena Root,Different Realities,Root Rock Records,"LP, Album, RE, Gat",,2015,6789764,,2017-02-25 03:58:34
3005-1,Agents Of Oblivion,Agents Of Oblivion,Rotten Records,"2xLP, Album, Ltd, Gre",,2017,10581987,,2017-08-04 08:14:24
3005-1,Agents Of Oblivion,Agents Of Oblivion,Rotten Records,"2xLP, Album, Ltd, Cle",,2017,11097466,,2017-11-21 05:02:08
D1-79233,Hank Williams III,Hillbilly Joker,Sidewalk Records,"LP, Album, Ltd, Gre",,2011,2892380,,2017-04-12 15:01:06
SVLP 195,Marilyn Manson,Mechanical Animals,Simply Vinyl,"2xLP, Album, Ltd, 180",,2001,10738902,,2017-09-25 03:00:23
"SVLP 055, SVLP 0055, SVLP-055",Marilyn Manson,Antichrist Superstar,"Simply Vinyl, Interscope Records, Simply Vinyl, Interscope Records, Simply Vinyl, Interscope Records","2xLP, Album, Ltd",,1998,3222700,,2017-09-25 02:58:58
828 154-1,Faith No More,The Real Thing,"Slash, London Records","LP, Album",,1989,1869217,,2017-04-25 05:44:09
25878-1,Faith No More,The Real Thing,"Slash, Reprise Records","LP, Album",,1989,6957538,,2017-04-25 05:43:34
"9 25878-1, 1-25878",Faith No More,The Real Thing,"Slash, Reprise Records","LP, Album",,1989,1925508,,2017-04-25 05:44:02
600753642450,Monster Magnet,Superjudge,"Spinefarm Records, Universal Music Group","2xLP, Album, RE, RM",,2016,8112399,,2017-02-13 06:53:23
2 C 062-90788,Joe Cocker,Joe Cocker!,Stateside,"LP, Album",,1970,2741011,,2017-03-27 13:17:31
SVR014,Magnus Pelander,A Sinner's Child,Svart Records,"12""",,2010,2321446,,2017-11-28 05:37:37
SVR014,Magnus Pelander,A Sinner's Child,Svart Records,"12"", Ltd, Yel",,2010,2292294,,2017-11-28 05:37:46
TP-027 LP,The Mystick Krewe Of Clearlight,The Mystick Krewe Of Clearlight,Tee Pee Records,"LP, Album",,2000,4598167,,2017-12-07 13:42:46
TPE-027,The Mystick Krewe Of Clearlight,The Mystick Krewe Of Clearlight,Tee Pee Records,"LP, Album",,2000,2994000,,2017-12-07 13:42:07
TPE-027,The Mystick Krewe Of Clearlight,The Mystick Krewe Of Clearlight,Tee Pee Records,"LP, Album, Pur",,2000,1526039,,2017-12-07 13:42:31
TPE-076,Earthless,Rhythms From A Cosmic Sky,Tee Pee Records,"LP, Album, Gat",,2007,1093872,,2017-03-08 01:37:45
TPE-076,Earthless,Rhythms From A Cosmic Sky,Tee Pee Records,"LP, Album, Ltd, RP, Blu",,2016,8507835,,2017-03-08 01:37:53
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album",,2008,1574978,,2017-06-02 02:17:56
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album, RP, Bro",,2008,8528313,,2017-06-02 02:18:55
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album, Ltd, RP, Red",,2012,4493540,,2017-06-02 02:19:03
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album, RP, Gat",,2012,3773665,,2017-06-02 02:19:08
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album, Ltd, RP, Cle",,2012,5681373,,2017-06-02 02:19:10
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album, Ltd, RP, Whi",,2012,4308322,,2017-06-02 02:19:13
TPE-081,Graveyard (3),Graveyard,Tee Pee Records,"LP, Album, RP, Red",,2015,7221589,,2017-06-02 02:19:16
URLP333,Ikebe Shakedown,Stone By Stone,Ubiquity,"LP, Album",,2014,5644632,,2017-12-30 16:46:19
766872,Buchanan (4),All Understood,Ultimatum Music,"CD, Album",,2003,3307446,,2017-08-18 06:57:41
80119-01166-2,Buchanan (4),All Understood,Ultimatum Music,"CD, Album",,2003,7065814,,2017-08-18 06:56:59
none,Buchanan (4),Buchanan (Demo),Ultimatum Music,CD,,2003,6766776,,2017-08-18 06:56:57
B0017717-01,Soundgarden,King Animal,Universal Republic Records,"2xLP, Album",,2012,4018697,,2017-05-19 11:56:38
USR-001,Guns N' Roses,Live?!*@ Like A Suicide,Uzi Suicide Records,"12"", EP",,1986,2270252,,2017-05-23 12:01:47
USR-001,Guns N' Roses,Live?!*@ Like A Suicide,Uzi Suicide Records,"12"", EP, Red",,1986,8767655,,2017-05-23 12:01:54
VR4125,Mark Lanegan,Imitations,"Vagrant Records, Flooded Soil Recordings","LP, Album",,2013,4930516,,2017-09-09 11:30:47
3719818,Soundgarden,King Animal,Vertigo,"2xLP, Album",,2012,4008198,,2017-05-19 11:56:44
6321003,Black Sabbath,Master Of Reality,Vertigo,"LP, Album, Emb",,1971,7990436,,2017-11-22 00:36:00
6360050,Black Sabbath,Master Of Reality,Vertigo,"LP, Album, Emb",,1971,590773,,2017-11-22 00:36:49
6360050,Black Sabbath,Master Of Reality,Vertigo,"LP, Album",,1971,1106916,,2017-11-22 00:38:23
6360050,Black Sabbath,Master Of Reality,Vertigo,"LP, Album",,1971,1625321,,2017-11-22 00:43:07
FTS-3066,Caravan,Caravan,Verve Forecast,"LP, Album",,1969,2021856,,2017-10-02 01:49:05
FVS 9520,Caravan,Caravan,Verve Forecast,"LP, Album",,1969,5051604,,2017-10-02 01:48:54
"SVLP 6011, SVLP. 6011",Caravan,Caravan,"Verve Forecast, Verve Forecast","LP, Album",,1969,3405786,,2017-10-02 01:48:58
208333,Suicidal Tendencies,Join The Army,Virgin,"LP, Album",,1987,2616754,,2017-05-02 14:55:36
7243 8 40620 1 9,Ben Harper,Fight For Your Mind,Virgin,"2xLP, Album, RE, 180",,2009,7835881,,2017-08-15 12:54:48
7243 8 40620 1 9,Ben Harper,Fight For Your Mind,Virgin,"2xLP, Album, Ltd, RE, 180",,2009,1788718,,2017-08-15 12:55:22
7243 8 4062019,Ben Harper,Fight For Your Mind,Virgin,2xLP,,1995,4504375,,2017-08-15 12:54:57
B0023057-01,Ben Harper,Fight For Your Mind,Virgin,"LP, Red + LP, Gre + Album, Ltd, Num, RE",,2015,7784705,,2017-08-15 12:55:13
OVED 307,Suicidal Tendencies,Join The Army,Virgin,"LP, Album",,1987,473507,,2017-05-02 14:55:18
V2551,Suicidal Tendencies,How Will I Laugh Tomorrow... When I Can't Even Smile Today,Virgin,"LP, Album",,1988,2758426,,2017-05-02 14:56:19
"208 333, 208 333-630",Suicidal Tendencies,Join The Army,"Virgin, Virgin","LP, Album",,1987,1844086,,2017-05-02 14:55:32
"208 333, V 2424",Suicidal Tendencies,Join The Army,"Virgin, Virgin","LP, Album",,1987,9667782,,2017-05-02 14:55:48
"209 319, 209 319-630",Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,"Virgin, Virgin","LP, Album",,1988,1116842,,2017-05-02 14:56:16
"209 319, 209 319-630",Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,"Virgin, Virgin","LP, Album",,1988,5596983,,2017-05-02 14:56:25
"7243 8 39970 1 5, 8399701",The Cult,The Cult,"Virgin, Virgin","2xLP, Album",,1994,3674586,,2017-07-04 09:22:55
"V 2424, V2424",Suicidal Tendencies,Join The Army,"Virgin, Virgin","LP, Album",,1987,1116999,,2017-05-02 14:55:26
"VUSDLP93, 7243 8 40620 1 9",Ben Harper,Fight For Your Mind,"Virgin, Virgin","2xLP, Album",,1995,1554903,,2017-08-15 12:55:17
"209 779-630, 209 779, 209 779-8, BEGA 98",The Cult,Sonic Temple,"Virgin, Virgin, Virgin, Beggars Banquet","LP, Album",,1989,1462017,,2017-02-13 01:42:19
VOL #04852,Year Long Disaster,Black Magic; All Mysteries Revealed,Volcom Entertainment,"LP, Album, 180",,2010,2220963,,2017-08-01 01:55:37
VOLO4672,Year Long Disaster,Year Long Disaster,Volcom Entertainment,"2xLP, Album",,2007,3208406,,2017-08-01 01:55:30
"#04672, VOL04672",Year Long Disaster,Year Long Disaster,"Volcom Entertainment, Volcom Entertainment","2xLP, Album + CD, Ltd",,2007,6326332,,2017-08-01 01:55:26
47386-1,Red Hot Chili Peppers,Californication,Warner Bros. Records,"2xLP, Album, Ltd, RE, 180",,2012,3971421,,2017-05-07 08:19:26
530196-1,Red Hot Chili Peppers,One Hot Minute,Warner Bros. Records,"LP, Album, Ltd, Num, RE, Red",,2012,3643369,,2017-05-07 08:18:40
530196-1,Red Hot Chili Peppers,One Hot Minute,Warner Bros. Records,"LP, Album, RE",,2012,6078094,,2017-05-07 08:18:43
9 25993-1,Jane's Addiction,Ritual De Lo Habitual,Warner Bros. Records,"LP, Album",,1990,513801,,2017-04-22 15:02:59
9362-45733-1,Red Hot Chili Peppers,One Hot Minute,Warner Bros. Records,"2xLP, Album",,1995,2037064,,2017-05-07 08:18:09
9362-45733-1,Red Hot Chili Peppers,One Hot Minute,Warner Bros. Records,"2xLP, Album",,1995,9909771,,2017-05-07 08:18:21
9362-45733-1,Red Hot Chili Peppers,One Hot Minute,Warner Bros. Records,"2xLP, Album, Dlx, RE, 180",,2003,1291486,,2017-05-07 08:18:29
2564 63267 1,Gnarls Barkley,St. Elsewhere,"Warner Bros. Records, Lex Records","LP, Album",,2006,702916,,2017-08-11 23:50:39
R1 25993,Jane's Addiction,Ritual De Lo Habitual,"Warner Bros. Records, Rhino Records (2)","2xLP, Album, RE, 180",,2009,1736536,,2017-04-22 15:04:56
"7599-25993-1, WX 306",Jane's Addiction,Ritual De Lo Habitual,"Warner Bros. Records, Warner Bros. Records","LP, Album",,1990,6389626,,2017-04-22 15:03:44
WW033W,King Gizzard And The Lizard Wizard,Polygondwanaland,WeWant2Wecord,"LP, Album, Ltd, Num, Die",,2017,11288788,,2017-12-21 01:55:23
none,Whiskey Myers,Early Morning Shakes,Wiggy Thump Records,"2xLP, Album + CD",,2014,5487935,,2017-04-22 15:30:27
wm-250,Whiskey Myers,Firewater,Wiggy Thump Records,LP,,2011,4991371,,2017-04-22 15:27:31
LLLPLLPLP01,Radiohead,A Moon Shaped Pool,XL Recordings,"2xLP, Album, 180 + 2xCD, Album + S/Edition",,2016,9127152,,2017-05-09 12:01:08
XLLP 782,Radiohead,Kid A,XL Recordings,"2x10"", Album, RE",,2016,8664440,,2017-05-22 13:03:54
XLLP 782B,Radiohead,Kid A,XL Recordings,"2xLP, Album, RE",,2016,9097173,,2017-05-22 13:03:56
XLLP 782B,Radiohead,Kid A,XL Recordings,"2xLP, Album, RE",,2016,10270350,,2017-05-22 13:04:00
